CODE,DATE,LAI 1,LAI 2,LAI 3,LAI 4,PLT. CHLRO 1,PLT. CHLOR 2,PLT CHLOR 3,PLT. CHLOR 4,PLT. CHLOR 5,District,Lattitde,Longitude,Farm size,Expected yield,Phynology Data,COMMENTS
7022FUU,07/09/2021,0.694,0.351,0.477,0.781,46.3,26.4,34.6,31.2,33.1,Salaga N,9.24841,-0.62784,2,500,Vegetative phase,
3030TIN,07/09/2021,3.17,1.4,2.85,2.07,47.1,50.8,50.8,51.5,43.4,Nanton,9.57118,-0.69651,5,800,Tasseling/Anthesis,
3014TIN,07/09/2021,0.828,0.389,1.186,1.06,43.9,43.4,42.25,45.45,48.7,Nanton,9.558792114,-0.695244669,2,400,Vegetative phase,
3028TIN,07/09/2021,3.29,4.69,2.41,1.61,50.7,49.95,47.3,50.5,53.7,Nanton,9.558792114,-0.695244669,2,500,Vegetative phase,
3075TAM,07/09/2021,0.898,1.41,2.16,2.91,41,45.1,53.1,50.8,50.8,Nanton,9.595,-0.66,1,700,Vegetative phase,
3074TAM,07/09/2021,1.07,0.615,1.37,2.04,27.5,30.35,31.65,43.25,52.55,Nanton,9.589308,-0.661,6,400,Vegetative phase,
3080TAM,07/09/2021,2.1,1.51,1.86,1.89,51.2,55.4,58.75,63.3,49,Nanton,9.5677,-0.704,2,600,Vegetative phase,
5032TUG,08/09/2021,1,0.854,0.688,0.528,29.5,33.35,31.5,33.85,34.25,Tamale,9.367064,-0.623289,1,400,Vegetative phase,
5036TUG,08/09/2021,0.962,0.662,1.01,0.691,50.35,35.15,50.7,42.65,49.95,Tamale,9.376,-0.60521,4,500,Vegetative phase,
5037TUG,08/09/2021,1.73,1.67,2.59,2.98,47.5,46.1,48.35,38,46.25,Tamale,9.37583,-0.6048,2,700,Vegetative phase,
5034TUG,08/09/2021,2.42,2.43,2.96,3.09,51.55,52.45,48.45,47.3,56.9,Tamale,9.3851,-0.59437,2,400,Tasseling/anthesis,
5033TUG,08/09/2021,0.862,0.862,1.27,0.555,50.7,50.05,49.2,49.1,51.1,Tamale,9.38583,-0.59402,2,500,Vegetative phase,
5011LAB,08/09/2021,2.23,2.95,1.25,1.06,48.3,53.85,48.4,46.35,57.4,Tamale,9.42975,-0.59437,3,1000,Tasseling/anthesis,
5012LAB,08/09/2021,1.94,1.97,2,2.2,38.4,46.8,52.25,44.65,48.25,Tamale,9.42617,-0.5993,3,600,Tasseling/anthesis,
5014LAB,08/09/2021,0.701,0.331,1.13,0.308,45,40.3,48.05,41.85,48.7,Tamale,9.42669,-0.59782,2,500,Vegetative phase,
5002LAB,08/09/2021,1.43,1.41,1.48,1,38.3,43.5,37.95,32.1,45.15,Tamale,9.424268483,-0.596185328,5,400,Vegetative phase,
2053KPA,08/09/2021,1.01,0.982,0.264,0.9,44.1,50.55,34.2,44.6,45.75,Mion,9.405983,-0.514347,1,500,Vegetative phase,
2050KPA,08/09/2021,2.15,0.993,2.04,1.63,40.35,29.3,48.7,30.35,41.35,Mion,9.403375,-0.515692,1,500,Vegetative phase,
2048KPA,08/09/2021,1.78,0.854,0.675,0.197,29.35,27.8,25.25,19.15,33.1,Mion,9.39508,-0.51427,2,600,Vegetative phase,Field was earlier planted with cowpea
5016ZOR,08/09/2021,0.237,0.66,0.719,1.55,38.85,51.05,44.55,50.05,50.2,Tamale,9.37939,-0.67121,1,500,Vegetative phase,
5017ZOR,08/09/2021,0.96,1.47,1.35,0.976,41.95,40.6,44.25,45.5,44.5,Tamale,9.37939,-0.67121,1.5,500,Vegetative phase,
5057PAG,08/09/2021,2.28,2.42,1.97,2.37,57.75,43.1,53,49.9,41.75,Tamale,9.37753,-0.70846,1,800,Vegetative phase,
7058CHE,09/09/2021,1.16,0.666,1.5,0.854,50.05,29.4,50.85,48.65,39.05,Mion,9.34499,-0.43791,4,500,Vegetative,
7059CHE,09/09/2021,0.802,0.222,0.491,0.483,30.45,24.95,43.75,32.95,44.15,Mion,9.34613,-0.43771,3,700,Vegetative,
7061CHE,09/09/2021,1.14,1.9,2.04,2.57,49.6,40.55,34.8,46.55,51.2,Mion,9.35552,-0.43689,4,800,Vegetative,
7062CHE,09/09/2021,1.07,1.6,0.542,0.652,36.9,52.85,33.75,35.95,45.85,Mion,9.35716,-0.4376,1,400,Vegetative,
7036SAN,09/09/2021,2.15,1.12,2.45,1.61,56.35,60.45,47.4,53.15,54,Mion,9.42049,-0.2341,20,1200,Tasseling/Anthesis,It was windy when I was doing the measurement
2002ALH,09/09/2021,1.13,0.653,2.65,1.59,37.15,52.15,56.35,49.85,51.35,Mion,9.64854,-0.25249,10,700,Vegetative,
7015ALH,09/09/2021,0.556,0.295,0.939,0.266,38.65,28.6,36.6,38.65,33.6,Mion,9.64544,-0.25215,2,400,Vegetative,
7016ALH,09/09/2021,0.128,0.433,0.164,0.271,40.9,31.6,28.55,41.25,40.5,Mion,9.64602,-0.25434,2,450,Vegetative,
7018ALH,09/09/2021,0.724,0.721,0.278,0.169,32.1,35.8,34.85,38.05,35.8,Mion,9.64675,-0.25559,1,400,Vegetative,
7019ZOR,09/09/2021,1.1,1.43,0.779,0.851,44.55,50.3,49.5,49.8,40.8,Tamale,9.38746,-0.6669,2,300,Vegetative,
1029ZIN,10/09/2021,2.57,2.02,2.61,3.25,48.15,60.3,50.85,56.7,53.65,Nanton,9.64904,-0.58895,,15000,Vegetative phase,
7068ZIN,10/09/2021,0.933,0.569,1.38,2.11,34.3,40.45,33.45,42.05,42.9,Nanton,9.60022,-0.5659,2,1400,Vegetative phase,
7069ZIN,10/09/2021,1.64,0.559,1.52,1.5,52.3,41.4,46.15,48.5,40.7,Nanton,9.60362,-0.57012,2,900,Vegetative phase,
7070ZIN,10/09/2021,0.248,1.6,0.251,0.974,35.55,32.85,34.2,40.4,39.25,Nanton,9.6079,-0.56814,1.5,800,Vegetative phase,
7071ZIN,10/09/2021,1.28,1.27,0.411,0.691,46.9,23.95,30.95,42.45,37,Nanton,9.606023,-0.56747,1,600,Vegetative phase,
7072ZIN,10/09/2021,1.55,1.46,0.797,2.23,51.85,42.95,41.2,40.05,51,Nanton,9.607,-0.56913,2,1000,Vegetative phase,
7073ZIN,10/09/2021,1.18,1.58,1.48,0.682,43,54.4,43.85,39.05,44.85,Nanton,9.61572,-0.56823,1.5,800,Vegetative phase,
7074ZIN,10/09/2021,0.679,1.28,1.27,0.978,39.3,48.2,38.15,57.25,43.8,Nanton,9.61832,-0.5668,1.5,900,Vegetative phase,
1055ZIN,10/09/2021,1.37,1.91,1.59,1.48,53.05,44.05,42.8,48.05,54.8,Nanton,9.61066,-0.57844,,3400,Vegetative phase,
7010SAM,13/09/2021,1.87,0.529,1.68,1.98,32.05,49.45,42.6,40.5,49.05,Gushegu,9.7951,-0.39869,5,600,Vegetative phase,
7020YAM,13/09/2021,0.971,2.53,1.78,0.885,50.9,50.7,44.6,41.1,53.7,Gushegu,9.72244,-0.51189,105,1000,Silking,
7021YAM,13/09/2021,1.15,1.93,1.39,2.69,50.1,50.85,51.75,56,53.25,Gushegu,9.7005,-0.54113,4,1500,Tasseling/Anthesis,
1061ZIN,13/09/2021,1.21,0.958,0.984,1.16,42.1,38.3,38.65,38.25,57.05,Gushegu,9.6342,-0.5124,2,700,Vegetative phase,The reading was taking after a  heavy rain and the sky was still not clear
1067ZIN,13/09/2021,1.28,1.29,0.834,1.07,33.65,52,34.35,39.25,47.3,Gushegu,9.62592,-0.55281,2,500,Vegetative phase,The reading was taking after a  heavy rain and the sky was still not clear
1056ZIN,13/09/2021,0.845,1.84,1.99,1.63,44.1,39.35,46.55,35.6,38.1,Gushegu,9.58751,-0.56415,3,800,Tasseling/Anthesis,The reading was taking after a  heavy rain and the sky was still not clear
7014SAM,13/09/2021,1.72,1.43,1.7,1.27,35.7,39.6,34.85,41.25,43.5,Gushegu,9.7246,-0.39502,1,500,Vegetative phase,No measurement was taken last week (Week one)
7015SAM,13/09/2021,0.857,1.88,1.23,1.63,44.2,44.6,39.25,41,48.7,Gushegu,9.7853,-0.39296,1.5,400,Vegetative phase,No measurement was taken last week (Week one)
7016SAM,13/09/2021,0.632,0.706,0.319,0.468,49.1,39.6,39.25,43.55,40.35,Gushegu,9.7819,-0.3951,2,500,Vegetative phase,No measurement was taken last week (Week one)
7017SAM,13/09/2021,0.933,0.577,0.75,0.41,35.7,43.7,35.6,39.25,47.5,Gushegu,9.1823,-0.39434,5,700,Vegetative phase,No measurement was taken last week (Week one)
7036FUU,14/09/2021,0.607,0.535,2.1,1.89,27.25,28.65,37.8,27.25,31.45,Salaga N,9.26855,-0.61097,1,400,Vegetative phase,The field need fertilization
7035FUU,14/09/2021,1.81,1.4,1.48,1.56,45.45,38.05,36.95,39.65,37.25,Salaga N,9.2673,-0.6149,1,500,Tasseling/Anthesis,
4020FUU,14/09/2021,0.461,0.453,1.47,0.705,29.4,36.3,31.25,30.8,40.1,Salaga N,9.26789,-0.61545,1,500,Vegetative phase,
7034FUU,14/09/2021,0.761,0.978,1.38,2.85,44.25,42.4,47.3,39.55,47.45,Salaga N,9.25341,-0.62473,1,600,Tasseling/Anthesis,
7033FUU,14/09/2021,1.01,0.121,0.625,0.557,17.25,30.95,33.7,33.45,29.6,Salaga N,9.21881,-0.59813,1,600,Vegetative phase,
7022FUU,14/09/2021,1.45,1.27,0.636,2.12,32.8,29.45,40.3,31.85,39.15,Salaga N,9.24841,-0.62784,2,500,Vegetative phase,
3030TIN,14/09/2021,3.68,1.54,1.69,2.89,37.3,45.7,48.35,43.4,48.4,Nanton,9.57118,-0.69651,5,800,Silking,the crops lodged due to heavy rain
3014TIN,14/09/2021,0.727,0.73,1.33,1.28,45.9,32,52.4,25.7,50.75,Nanton,9.558792114,-0.695244669,2,400,Tasseling/Anthesis,
3028TIN,14/09/2021,3.79,2.01,2.13,0.77,50,51.95,42.05,53,51.45,Nanton,9.558792114,-0.695244669,2,500,Tasseling/Anthesis,Animals are destroying the field (grazing on the leaves)
3075TAM,14/09/2021,1.11,0.89,3.26,2.3,36.75,42.85,44.2,50.7,51.75,Nanton,9.595,-0.66,1,700,Tasseling/Anthesis,
3074TAM,14/09/2021,1.26,0.975,1.72,1.6,30.6,25.7,26.45,37.4,53.55,Nanton,9.589308,-0.661,6,400,Tasseling/Anthesis,
3080TAM,14/09/2021,1.84,2.22,1.42,1.77,42.55,42.6,52.3,55.95,46.45,Nanton,9.5677,-0.704,2,600,Tasseling/Anthesis,The field is flooded
5032TUG,15/09/2021,0.613,1.52,1.01,1.25,29.2,31.65,38.05,34.2,31.3,Tamale,9.367064,-0.623289,1,400,Vegetative phase,
5036TUG,15/09/2021,1.17,0.877,1.01,1.08,45.9,54.05,48.05,42.2,49.95,Tamale,9.376,-0.60521,4,500,Tasseling/anthesis,
5037TUG,15/09/2021,1.72,2.34,1.9,2.24,45.15,41.2,40.6,39.25,47.15,Tamale,9.37583,-0.6048,2,700,Tasseling/anthesis,
5034TUG,15/09/2021,1.66,2.14,2.53,2.5,50.4,51.45,45.2,42.35,53.95,Tamale,9.3851,-0.59437,2,400,Silking,
5033TUG,15/09/2021,1.39,1.24,1.75,0.941,48.85,49.95,50.9,39.4,54.3,Tamale,9.38583,-0.59402,2,500,Tasseling/anthesis,
5011LAB,15/09/2021,2.31,2.3,1.16,1.14,55.7,58.45,47.7,47.55,54.65,Tamale,9.42975,-0.59437,3,1000,Silking,
5012LAB,15/09/2021,1.99,1.75,2.06,1.64,39.85,57.35,49.6,47.9,42.85,Tamale,9.42617,-0.5993,3,600,Silking,
5014LAB,15/09/2021,0.995,0.764,0.838,0.613,43.9,39.3,51.75,39.05,43.6,Tamale,9.42669,-0.59782,2,500,Vegetative phase,
5002LAB,15/09/2021,2.45,1.28,1.11,0.923,31.3,40.45,34.4,38.9,45.1,Tamale,9.424268483,-0.596185328,5,400,Tasseling/anthesis,
2053KPA,15/09/2021,1.22,1.75,0.875,1.44,47.35,45.2,36.65,45.65,45.35,Mion,9.405983,-0.514347,1,500,Tasseling/anthesis,
2050KPA,15/09/2021,2.37,1.59,3.24,1.83,46.6,26.9,47.1,39,46.9,Mion,9.403375,-0.515692,1,500,Vegetative phase,
2048KPA,15/09/2021,1.43,0.372,2.06,0.76,32.6,28.5,29.2,28.7,40.3,Mion,9.39508,-0.51427,2,600,Vegetative phase,Animals are destroying the field
5016ZOR,15/09/2021,0.961,0.93,1.04,2,39.8,50.95,48.45,46.15,53.95,Tamale,9.37939,-0.67121,1,500,Vegetative phase,
5017ZOR,15/09/2021,0.973,0.7639,1.03,1.81,41.9,37.75,47.6,36.25,45.35,Tamale,9.37939,-0.67121,1.5,500,Tasseling/anthesis,
5057PAG,15/09/2021,2.42,2.14,1.64,1.52,58.15,43.55,48.8,46.35,46.1,Tamale,9.37753,-0.70846,1,800,Grain filling,
7058CHE,16/09/2021,2.17,0.764,1.56,1.36,42.15,39.55,49.2,43.35,34.3,Mion,9.34499,-0.43791,4,500,Silking,
7059CHE,16/09/2021,1.25,0.302,0.777,0.907,31.3,20.2,42.65,29.1,34.5,Mion,9.34613,-0.43771,3,700,Grain filling,
7061CHE,16/09/2021,1.368,2.28,2.04,3.01,53.4,41.4,34.25,44.35,40.3,Mion,9.35552,-0.43689,4,800,Tasseling/Anthesis,
7062CHE,16/09/2021,1.11,0.846,0.856,0.88,38.05,40,42,41.55,43.7,Mion,9.35716,-0.4376,1,400,Tasseling/Anthesis,
7036SAN,16/09/2021,1.48,1.32,1.23,1.43,53.05,50.8,55.85,53.1,52,Mion,9.42049,-0.2341,20,1200,Silking,
2002ALH,16/09/2021,1.48,1.13,3.82,1.71,45.9,54,59.35,49.8,51.4,Mion,9.64854,-0.25249,10,700,Silking,
7015ALH,16/09/2021,0.574,0.458,0.616,0.28,42.75,30.2,42.95,33.8,43.55,Mion,9.64544,-0.25215,2,400,Vegetative phase,
7016ALH,16/09/2021,0.605,0.959,0.394,0.625,39.95,47,34.9,41.65,44.75,Mion,9.64602,-0.25434,2,450,Vegetative phase,
7018ALH,16/09/2021,1.44,1.07,0.474,0.4378,42.7,43.1,31.6,36.85,36.95,Mion,9.64675,-0.25559,1,400,Vegetative phase,
7019ZOR,17/09/2021,1.49,1.5,1.9,1,43.05,44.7,45.95,51.15,43.5,Tamale,9.38746,-0.6669,2,300,Silking,Due to rainfall I could not take the LAI 16/10/2021 but the following day
1029ZIN,17/09/2021,2.57,2.02,2.61,3.25,48.15,60.3,50.85,56.7,53.65,Gushegu,9.64904,-0.58895,16,15000,Silking,
7068ZIN,17/09/2021,1.35,2.04,1.88,2.17,45.75,44.95,40.1,41.5,43.25,Gushegu,9.60022,-0.5659,2,1400,Vegetative phase,
7069ZIN,17/09/2021,2.23,1.16,1.38,2.15,57.15,34.15,44.5,50.6,35.55,Gushegu,9.60362,-0.57012,2,900,Vegetative phase,
7070ZIN,17/09/2021,0.755,1.22,0.525,,37.4,35.1,42.5,41.5,33.05,Gushegu,9.6079,-0.56814,1.5,800,Vegetative phase,
7071ZIN,17/09/2021,1.45,0.633,0.816,1.69,49.7,33.75,39.3,42.3,31.65,Gushegu,9.606023,-0.56747,1,600,Vegetative phase,
7072ZIN,17/09/2021,1.47,1.55,1.32,2.71,51,43.5,36.95,42.9,41,Gushegu,9.607,-0.56913,2,1000,Vegetative phase,
7073ZIN,17/09/2021,1.66,1.72,1.76,0.725,44.15,44.85,43.95,41.7,49.2,Gushegu,9.61572,-0.56823,1.5,800,Tasseling,
7074ZIN,17/09/2021,0.679,1.28,1.27,0.978,39.3,48.2,38.15,57.25,43.8,Gushegu,9.61832,-0.5668,1.5,900,Vegetative phase,
1055ZIN,17/09/2021,1.37,1.91,1.59,1.48,53.05,44.05,42.8,48.05,54.8,Gushegu,9.61066,-0.57844,10,1300,Silking,
7010SAM,20/09/2021,1.39,1.11,1.93,2.12,37.35,46.15,39.45,43.05,51.95,Gushegu,9.7951,-0.39869,5,600,Tasseling/anthesis,
7020YAM,20/09/2022,2.08,2.08,1.71,1.91,55.8,53,41.1,44.8,52.85,Gushegu,9.72244,-0.51189,105,1000,Grain filling,
7021YAM,20/09/2023,1.1,1.94,1.2,2.86,48.4,53.4,50.65,58.2,53.85,Gushegu,9.7005,-0.54113,4,1500,Silking,
1061ZIN,20/09/2024,1.42,0.61,1.58,1.03,41.5,42.55,40.9,33.55,60.3,Gushegu,9.6342,-0.5124,2,700,Vegetative phase,
1067ZIN,20/09/2025,1.37,1.54,1.29,1.01,36.5,29.25,30.4,34.43,45.35,Gushegu,9.62592,-0.55281,2,500,Vegetative phase,
1056ZIN,20/09/2026,0.905,1.95,1.96,1.51,44,29.2,43.5,42,45.2,Gushegu,9.58751,-0.56415,3,800,Silking,
7014SAM,20/09/2027,0.953,1.19,1.15,1.4,31.9,40.05,43.65,41.85,40.7,Gushegu,9.7246,-0.39502,1,500,Tasseling/anthesis,
7015SAM,20/09/2028,1.54,2.37,1.82,1.94,27.95,42.85,38.25,49.7,42.8,Gushegu,9.7853,-0.39296,1.5,400,Silking,
7016SAM,20/09/2029,1.07,0.844,0.892,0.71,56.65,39.8,38.8,39.9,45.75,Gushegu,9.7819,-0.3951,2,500,Vegetative phase,
7017SAM,20/09/2030,1.64,1.26,0.904,0.953,38.5,47.5,40.35,38.75,50.3,Gushegu,9.1823,-0.39434,5,700,Tasseling/anthesis,
7036FUU,21/09/2021,0.832,0.739,0.878,0.813,34.95,36.85,40.05,42.65,46.55,Salaga N,9.26855,-0.61097,1,400,Vegetative phase,
7035FUU,21/09/2021,2.01,1.84,1.63,1.81,52,49.05,39.8,46.8,49.4,Salaga N,9.2673,-0.6149,1,500,Silking,
4020FUU,21/09/2021,0.618,0.634,1.09,0.753,30.75,38.3,39.65,27.25,38.5,Salaga N,9.26789,-0.61545,1,500,Vegetative phase,
7034FUU,21/09/2021,0.761,0.978,1.38,2.85,44.25,42.4,47.3,39.55,47.45,Salaga N,9.25341,-0.62473,1,600,Tasseling/Anthesis,"Did not continue this week,farmer planted sorghum in the field"
7033FUU,21/09/2021,1.34,0.657,0.795,0.438,27.7,35.3,33.45,37.05,26.6,Salaga N,9.21881,-0.59813,1,600,Vegetative phase,
7022FUU,21/09/2021,1.12,1.08,0.609,0.971,46.55,41.15,48.9,29.75,44.75,Salaga N,9.24841,-0.62784,2,500,Vegetative phase,
3030TIN,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
3014TIN,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
3028TIN,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
3075TAM,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
3074TAM,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
3080TAM,21/09/2021,,,,,,,,,,,,,,,,Could not pick data due to ill health
5032TUG,22/09/2021,0.5,1.18,1.48,,26.5,25.45,30.7,30.45,27,Tamale,9.367064,-0.623289,1,400,Vegetative phase,
5036TUG,22/09/2022,1.77,0.695,1.39,,41.25,54.55,48.4,37.15,48,Tamale,9.376,-0.60521,4,500,Tasseling/anthesis,
5037TUG,22/09/2023,1.52,2.43,2.58,,41.9,40.95,20.2,51.5,46.85,Tamale,9.37583,-0.6048,2,700,Silking,
5034TUG,22/09/2024,2.36,2.16,2.23,,39,38.15,4.65,37.5,46.65,Tamale,9.3851,-0.59437,2,400,Grain filling,
5033TUG,22/09/2025,1.35,1.82,1.58,,33.3,49.7,51.85,35.45,45.95,Tamale,9.38583,-0.59402,2,500,Silking,
5011LAB,22/09/2026,2.1,2.22,1.16,,58.8,59.65,34.15,43.05,50.55,Tamale,9.42975,-0.59437,3,1000,Silking,
5012LAB,22/09/2027,2.04,1.78,1.52,,29.95,45.35,38.85,0,47.75,Tamale,9.42617,-0.5993,3,600,Silking,The 4th could not be located due to removal of pegs
5014LAB,22/09/2028,0.78,0.788,1.05,,41.8,36.05,25.4,40.05,44.25,Tamale,9.42669,-0.59782,2,500,Tasseling/anthesis,
5002LAB,22/09/2029,1.63,1.12,1.62,,34.2,38.2,8,35.05,40.1,Tamale,9.424268483,-0.596185328,5,400,Tasseling/anthesis,
2053KPA,22/09/2030,1.47,1.32,0.806,,36.9,49.95,35.65,36.8,43.8,Mion,N9*24'21.54,W0*30'51.65,1,500,Silking,
2050KPA,22/09/2031,2.6,0.87,2.12,,30.6,35.85,34.55,39.4,29.5,Mion,N9*24'12.15,W0*30'56.49,1,500,Tasseling/anthesis,
2048KPA,22/09/2032,0.1,0.31,0.54,,37.05,27.6,43.6,32.7,47,Mion,9.39508,-0.51427,2,600,Vegetative phase,Animals are destroying the field
5016ZOR,22/09/2033,1.34,1.14,1.71,,35.95,52.65,42.15,56.25,44,Tamale,9.37939,-0.67121,1,500,Tasseling/anthesis,
5017ZOR,22/09/2034,1.4,1.41,1.16,,36.9,34.9,49.45,33.5,41.8,Tamale,9.37939,-0.67121,1.5,500,Tasseling/anthesis,
5057PAG,22/09/2035,3.22,2.49,2.04,,40.2,50.75,50.8,44.75,41.3,Tamale,9.37753,-0.70846,1,800,Grain filling,
7058CHE,23/09/2021,1.12,0.777,1.25,1.42,43.3,38.3,42.05,54.7,36.25,Mion,9.34499,-0.43791,5,600,Silking,
7059CHE,23/09/2022,1.19,0.63,1.27,0.981,46.65,16.7,25.6,38.5,31.35,Mion,9.34613,-0.43771,105,1000,Grain filling,
7061CHE,23/09/2023,1.51,2.36,2.29,2.92,51.45,42.4,39,47.05,39.2,Mion,9.35552,-0.43689,4,1500,Tasseling/Anthesis,
7062CHE,23/09/2024,1.35,0.815,0.55,1.01,39.15,43.6,40.4,40.65,56.65,Mion,9.35716,-0.4376,2,700,Tasseling/Anthesis,
7036SAN,23/09/2025,1.4,1.55,1.43,1.52,48.1,59.15,54.95,53.55,49.25,Mion,9.42049,-0.2341,2,500,Silking,
2002ALH,23/09/2026,1.65,1.04,2.26,2.06,48.7,53.1,57.6,49.35,51.4,Mion,9.64854,-0.25249,3,800,Silking,
7015ALH,23/09/2027,0.678,0.535,0.564,0.418,43.9,32.2,40.7,28.8,49.6,Mion,9.64544,-0.25215,1,500,Vegetative phase,
7016ALH,23/09/2028,0.559,0.575,0.336,0.813,35.95,44.95,35.45,34.9,42.5,Mion,9.64602,-0.25434,1.5,400,Vegetative phase,
7018ALH,23/09/2029,0.728,0.66,0.524,0.829,42.75,33.1,44.05,38.05,42.05,Mion,9.64675,-0.25559,2,500,Vegetative phase,
7019ZOR,23/09/2021,1.53,2.12,1.96,1.92,36.15,44.8,49.1,39.35,47,Tamale,9.38746,-0.6669,5,700,Silking,
1029ZIN,24/09/2021,2.13,1.71,2.44,3.2,45.5,56.2,51.85,52.4,36.3,Gushegu,9.64904,-0.58895,16,1500,Grain filling,
7068ZIN,24/09/2021,2.06,2.04,1.99,2.17,40.85,43.85,42.1,45.25,41.9,Gushegu,9.60022,-0.5659,2,1400,Vegetative phase,
7069ZIN,24/09/2021,2.44,1.18,1.68,2.51,49.9,33.9,46.2,44.1,34.15,Gushegu,9.60362,-0.57012,2,900,Tasseling,On the console data the code for this is 7073ZIN  not 7069ZIN
7070ZIN,24/09/2021,0.872,1.34,0.645,0.839,30.7,36,41.5,47.9,43.2,Gushegu,9.6079,-0.56814,1.5,800,Vegetative phase,Code on console is 7069ZIN  not 7070ZIN
7071ZIN,24/09/2021,1.95,0.756,0.706,1.29,46,35.1,41.8,36.05,54.2,Gushegu,9.606023,-0.56747,1,600,Vegetative phase,Code on console is 7070ZIN  not 7071ZIN
7072ZIN,24/09/2021,1.65,1.29,1.11,1.5,47.15,36.95,39.15,40.2,43.45,Gushegu,9.607,-0.56913,2,1000,Vegetative phase,Code on console is 7071ZIN  not 7072ZIN
7073ZIN,24/09/2021,1.56,1.41,1.6,1.11,38.15,44.1,44.8,43.3,45.7,Gushegu,9.61572,-0.56823,1.5,800,Silking,Code on console is 7069ZIN  not 7073ZIN
7074ZIN,24/09/2021,1.87,0.327,1.32,1.28,46.25,34.1,52.5,43.9,46.4,Gushegu,9.61832,-0.5668,1.5,900,Vegetative phase,
1055ZIN,24/09/2021,2.07,2.04,1.94,1.79,39.75,35.3,47.3,36.75,41.9,Gushegu,9.61066,-0.57844,10,1300,Silking,
7010SAM,27/09/2021,1.28,0.791,1.722,1.69,34,41.55,29.5,34.6,44.35,Gushegu,9.7951,-0.39869,5,600,Tasseling/anthesis,Drought is affecting the crops
7020YAM,27/09/2022,0.517,1.31,1.377,0.869,46.15,42.95,43.4,36.15,54.25,Gushegu,9.72244,-0.51189,105,1000,Physiological maturty,Drought is affecting the crops
7021YAM,27/09/2023,1.42,2.43,1.64,2.44,51.2,51.3,48.35,47.9,51.45,Gushegu,9.7005,-0.54113,4,1500,Grain filling,Drought is affecting the crops
1061ZIN,27/09/2024,1.78,0.88,0.355,1.82,44.65,42.95,40.1,34.35,51.4,Gushegu,9.6342,-0.5124,2,700,Tasseling/anthesis,Drought is affecting the crops
1067ZIN,27/09/2025,1.5,1.34,1.18,1.11,36.6,21.25,26.9,29.45,36.5,Gushegu,9.62592,-0.55281,2,500,Tasseling/anthesis,Drought is affecting the crops
1056ZIN,27/09/2026,0.772,1.65,1.27,1.43,55.85,31.95,37.7,42.2,30.95,Gushegu,9.58751,-0.56415,3,800,Physiological maturty,Drought is affecting the crops
7014SAM,27/09/2027,1.23,1.01,1.38,1.48,24.75,33.6,37.85,40.85,34.6,Gushegu,9.7246,-0.39502,1,500,Tasseling/anthesis,Drought is affecting the crops
7015SAM,27/09/2028,0.737,2.29,1.62,1.53,39.7,40.15,41.4,43.75,47.65,Gushegu,9.7853,-0.39296,1.5,400,Silking,Drought is affecting the crops
